MORPH_ID,HydroCode,FromDepth,ToDepth,TopElev,BottomElev,ConstructionType,Material,InnerDiameter,OuterDiameter,Property,PropertySize,DrillMethod,LogType,geometry
3847852671,524400010,0.0,22.96,577.0,554.04,VOID,UNK,,,UNK,,UNK,1.0,
3847852671,524400010,16.96,22.96,560.04,554.04,INLT,UNK,152.0,,SLAP,,CBT,1.0,
3852451171,494500046,-0.5,5.5,672.5,666.5,LIN,STL,206.0,,UNK,,UNK,1.0,
3852451171,494500046,-0.5,26.0,672.5,646.0,LIN,PVC,150.0,,UNK,,UNK,1.0,
3852451171,494500046,-0.5,38.0,672.5,634.0,VOID,UNK,,,UNK,,UNK,1.0,
3852451171,494500046,26.0,32.0,646.0,640.0,INLT,UPVC,150.0,,SLAP,2.0,ROT,1.0,
3852451171,494500046,32.0,38.0,640.0,634.0,INLT,UPVC,150.0,,UNK,,ROT,1.0,
3863650481,494500012,0.0,1.5,651.0,649.5,LIN,STL,219.0,,UNK,,UNK,1.0,
3863650481,494500012,0.0,55.4,651.0,595.6,LIN,PVC,168.0,,UNK,,UNK,1.0,
3863650481,494500012,0.0,55.4,651.0,595.6,VOID,UNK,,,UNK,,UNK,1.0,
3865695981,524300010,-0.5,5.5,504.52,498.52,LIN,STL,206.0,,UNK,,UNK,1.0,
3865695981,524300010,-0.5,27.0,504.52,477.02,LIN,PVC,150.0,,UNK,,UNK,1.0,
3865695981,524300010,-0.5,39.0,504.52,465.02,VOID,UNK,,,UNK,,UNK,1.0,
3865695981,524300010,27.0,33.0,477.02,471.02,INLT,UPVC,150.0,,SLAP,3.0,ROT,1.0,
3865695981,524300010,33.0,39.0,471.02,465.02,INLT,UNK,,,UNK,,ROT,1.0,
3865883971,534500047,0.0,23.0,659.0,636.0,LIN,UNK,152.0,,UNK,,UNK,1.0,
3865883971,534500047,0.0,2.0,659.0,657.0,LIN,UNK,203.0,,UNK,,UNK,1.0,
3865883971,534500047,0.0,36.0,659.0,623.0,VOID,UNK,,,UNK,,UNK,1.0,
3865883971,534500047,23.0,30.0,636.0,629.0,INLT,UNK,152.0,,PS,,UNK,1.0,
3865883971,534500047,30.0,36.0,629.0,623.0,INLT,UNK,152.0,,UNK,,UNK,1.0,
